putative Compound	hum_101_1 _cer	hum_102_1 _cer	hum_103_1 _cer	hum_104_1 _cer	hum_105_1 _cer	hum_106_1 _cer	hum_120_1 _cer	hum_121_1 _cer	hum_141_1 _cer	hum_153_1 _cer	hum_98_1 _cer	Wt_132_1 _cer	Wt_133_1 _cer	Wt_134_1 _cer	Wt_135_1 _cer	Wt_142_1 _cer	Wt_147_1 _cer	Wt_148_1 _cer	Wt_91_1 _cer	Wt_wt1_1 _cer
(std.i) U13C-Sorbitol	3014	3014	3014	3014	3014	3014	3014	3014	3014	3014	3014	3014	3014	3014	3014	3014	3014	3014	3014	3014
1-Pyrroline-2-carboxylate	1757	357	497	668	463	1137	717	1267	333	257	1637	326	330	358	378	670	171	283	1000	304
2-Piperidinecarboxylic_acid_(2TMS)_375026.84_TRUE	2192	3266	2443	2372	3476	3694	2845	2628	2969	3156	2138	2776	2168	3661	4413	3367	4516	4518	4013	3030
"Aconitic_acid,_trans-_(3TMS)_600462.25_PRED"	9297	9475	9437	8655	9223	9674	8310	8260	9144	9097	9000	8533	8644	8651	9245	8887	9298	8829	9305	8722
Adenine (2TMS) [MP-1.1]	828	1154	1349	1021	1322	1665	1301	1377	819	1740	1159	1314	1391	1174	1392	1411	1004	1556	1645	1318
Adenine_(1TMS)_586048_PRED	14076	11516	13466	10892	17958	16488	20112	19258	13195	16673	16660	14071	13193	15101	21752	16353	13734	15865	24267	18845
Adenosine 5-P (|ADP|ATP) (5TMS) [MP-1.1]	18794	18268	18055	22012	21085	22291	29280	26646	17773	23742	24946	23425	37033	31578	38302	32798	28983	21341	36044	24121
"Adipat, 2-Amino-"	551	850	874	712	905	972	1049	990	964	994	705	1083	1134	1151	1143	926	815	956	1067	984
"Adipo-2,6-lactam_(2TMS)_492238.44_PRED"	826	1105	1417	1180	1146	1125	1337	1119	868	1410	1200	1239	1060	1106	1509	1218	933	1159	239	1116
Agmatine_[-NH3]_(3TMS)_578698.75_PRED	2665	2739	2467	2128	2225	3954	2837	3594	3415	3384	3012	3500	3762	2901	3300	2835	3203	2825	4646	3911
Alanine (2TMS) [MP-1.1]	26071	27344	28373	24307	29594	38279	30312	36447	34687	38914	30577	30103	34286	30237	41461	32003	42633	34812	34650	48570
"Alanine, beta- (2TMS) [MP-2.1]"	16986	12002	13643	10466	14514	13306	15500	17534	10295	14583	14479	14973	14160	15788	25694	14642	14766	12231	22042	17427
"Alanine,_beta-_(2TMS)_273369.53_TRUE"	108009	78913	92175	72663	94753	91257	104127	117481	70008	95801	101185	101639	96330	101677	173622	100164	103916	83060	155079	117403
Alanine_(2TMS)_207563.2_TRUE	2884	2445	3069	2188	3029	3684	3031	4077	2912	4076	2751	3069	2657	2961	3796	2858	3086	3077	2711	4495
Alanine_(3TMS)_355868.03_PRED	11156	11534	12678	10972	13373	14589	12882	13108	12737	14194	11962	13073	13661	15249	15265	13889	14544	14024	21192	13427
Allose_(1MEOX)_(5TMS)_BP_588062.44_PRED	1234	740	1021	1552	1630	1535	2702	10487	4429	1622	2088	5071	3441	1165	3012	795	2438	904	2274	6785
Allose_(1MEOX)_(5TMS)_MP_577900.56_PRED	50289	35397	34937	53928	41286	36367	58325	49456	54114	58988	64854	51858	56674	78451	77576	72859	92210	46932	150968	60219
Anthranilic_acid_(2TMS)_539191.25_TRUE	6251	11296	12262	7433	12455	17722	9194	10694	9090	11948	7400	11235	7928	6588	11258	6219	6247	12953	4082	8789
"Arabinonic_acid-1,4-lactone_(3TMS)_526082.88_TRUE"	668	767	1907	2007	1092	NaN	2154	1970	2060	2643	2248	2083	1957	2474	2426	2156	2560	2274	1040	2005
Arabitol_(5TMS)_503104.56_PRED	4773	5715	6108	6209	6202	7037	6311	6276	6322	8350	5962	6561	6670	7254	7737	6775	7584	7630	6967	6180
Arginine [MP-1.1]	243444	294803	365095	311877	303407	291801	350831	312177	243970	399992	330441	381493	314114	328426	375593	374429	291341	320740	35866	316394
Ascorbate (4TMS) [MP-1.1]	1067	837	2746	1104	3047	1002	933	2574	913	1656	1891	1878	906	1731	1810	2189	1488	1631	3196	1077
"Ascorbate, 1-Dehydro- (dimer;2MEOX) [MP-1.1]"	53125	48758	55403	56460	48624	61885	64450	56652	55221	54018	60553	54428	56981	67900	63271	65242	60290	52746	56803	57265
Ascorbic_acid_(4TMS)_652392.44_TRUE	2310	2403	2639	2502	2846	3458	2767	2875	2780	3062	2985	2983	2586	2961	4201	2964	3026	3074	4605	3043
Asparagine (3TMS) [MP-1.1]	118021	115679	98611	106886	140209	105124	147289	188324	130888	172258	160871	142735	112028	150306	204639	169591	163739	149768	164184	127161
Asparagine (-H2O;2TMS) [NN-3.1]	7242	3137	3201	7467	3726	2630	7032	5155	4816	6386	8466	5229	5470	10688	8948	9932	10120	3743	6157	7148
Asparagine_(3TMS)_550488.31_TRUE	37118	35580	30192	32209	42877	32963	45420	56851	41354	52791	50215	44641	34563	45536	62583	52444	52472	46311	51797	38700
Asparagine_(4TMS)_BP2_626664.06_TRUE	682	573	631	609	628	736	737	610	604	622	603	591	711	801	733	747	692	640	611	767
Aspartate (3TMS) [MP-1.1]	67191	103134	108920	108940	138395	123372	125581	131871	129907	147784	106349	145289	127799	137160	210776	129456	169666	139366	219368	123254
Aspartic_acid_(2TMS)_458076.97_TRUE	16249	24182	25894	24967	32580	28799	30144	31446	29137	34482	25236	33616	29322	31466	48595	29749	35932	31610	48640	29170
Benzoate (1TMS) [MP-1.1]	657	569	712	672	1155	1009	920	745	568	739	840	809	521	671	1079	655	672	708	1651	862
"Benzoate, 4-Hydroxy- (2TMS) [MP-1.1]"	1732	3201	3482	2094	3328	4524	2578	2934	2553	3424	2087	3205	2260	1921	3158	1807	1807	3592	1131	2480
"Benzoic_acid,_3-hydroxy-_(2TMS)_507250.44_TRUE"	1284	1464	1666	1545	1710	1828	1689	1635	1769	2171	1655	1782	1813	1922	2017	1791	2019	1980	1909	1711
"Benzoic_acid,_4-amino-_(2TMS)_650574.94_TRUE"	62188	64645	71179	66828	72309	89028	77447	78023	68936	76484	75518	75425	63111	71682	102928	74816	69024	77513	110584	80772
"Butanoate, 4-Amino- (2TMS) [MP-2.1]"	9065	44226	26086	15267	44413	78646	12848	7265	53112	48498	17909	36278	13753	12173	34042	13937	101216	75785	16508	11929
"Butanoate, 4-Amino- (3TMS) [MP-1.1]"	69460	41790	67537	82333	47970	25020	87562	88756	49826	79403	73259	79053	91303	110876	139143	124367	38606	37233	181435	103590
"Butanoic_acid,_2-amino-_(2TMS)_249223.84_TRUE"	1021	821	600	750	921	NaN	486	1119	666	1462	NaN	880	515	632	882	NaN	606	949	276	542
