putative Compound	hum_101_2 _cor	hum_102_2 _cor	hum_103_2 _cor	hum_104_2 _cor	hum_105_2 _cor	hum_106_2 _cor	hum_120_2 _cor	hum_121_2 _cor	hum_141_2 _cor	hum_153_2 _cor	hum_98_2 _cor	Wt_132_2 _cor	Wt_133_2 _cor	Wt_134_2 _cor	Wt_135_2 _cor	Wt_142_2 _cor	Wt_147_2 _cor	Wt_148_2 _cor	Wt_152_2 _cor	Wt_91_2 _cor	Wt_wt2_2 _cor
(std.i) U13C-Sorbitol	2423	2423	2423	2423	2423	2423	2423	2423	2423	2423	2423	2423	2423	2423	2423	2423	2423	2423	2423	2423	2423
1-Pyrroline-2-carboxylate	592	520	389	593	571	652	697	748	256	263	1172	339	366	515	195	296	218	347	655	2323	116
2-Piperidinecarboxylic_acid_(1MEOX)_(2TMS)_549118.94_TRUE	3139	4249	3350	3163	3872	4799	5995	5532	6013	3736	3837	6514	5946	6073	4357	4914	3741	4078	4931	3440	4853
2-Piperidinecarboxylic_acid_(1TMS)_357365.44_TRUE	3435	3921	3474	3824	4322	4893	5817	6569	4955	4978	4920	5498	5149	5444	5254	4146	4049	4375	5279	3893	5355
2-Piperidinecarboxylic_acid_(2TMS)_375026.84_TRUE	1782	3611	2007	2815	3144	3498	3880	6179	3227	4124	2705	3496	2832	4713	3225	2187	3728	4734	5424	3155	2674
"Aconitic_acid,_trans-_(3TMS)_600462.25_PRED"	7546	7875	6972	8364	7142	7588	8011	8009	7828	7413	7367	7504	7309	7487	6730	6631	6823	6642	7515	7550	7235
Adenine (2TMS) [MP-1.1]	577	918	741	1543	1072	927	3583	1098	784	1664	1344	745	698	1017	1016	765	985	1159	1372	637	1505
Adenine_(1TMS)_586048_PRED	1554	1998	3156	2826	4507	2688	2077	5489	2728	2468	2730	3460	4907	4447	1382	3677	1956	4581	2243	1340	3763
Adenosine 5-P (|ADP|ATP) (5TMS) [MP-1.1]	20119	21900	17125	18262	26896	30915	32930	41999	25876	21826	20190	33886	33712	50164	27473	18215	16324	18504	25739	20986	21028
"Adipat, 2-Amino-"	339	548	436	611	522	469	1015	1199	771	880	498	1034	948	908	725	738	680	566	947	323	559
"Adipo-2,6-lactam_(2TMS)_492238.44_PRED"	500	678	596	843	645	802	634	702	655	876	813	754	798	786	677	662	712	782	669	501	946
Agmatine [MP-1.2]	391	657	465	778	856	697	943	1570	729	653	600	706	880	1226	786	664	487	648	676	598	919
Alanine (2TMS) [MP-1.1]	29608	39268	31567	34862	46070	49007	67325	64932	45418	56264	37397	52691	46376	54455	43389	37208	41980	49108	64471	41836	60896
"Alanine, beta- (2TMS) [MP-2.1]"	11195	11886	11277	13164	13836	15004	12441	29432	12506	17715	13407	17481	15189	17423	13601	9675	12677	13103	21687	14424	14156
"Alanine,_beta-_(2TMS)_273369.53_TRUE"	77752	80891	76671	89425	93804	100914	85902	203598	86729	115151	90754	117095	99714	119422	93331	60959	84794	88079	134362	95058	96055
Alanine_(2TMS)_207563.2_TRUE	2245	2916	2745	3675	3738	3754	5025	5848	3692	5729	3732	3796	3774	4481	3404	3728	3829	5001	6874	2911	5429
Alanine_(3TMS)_355868.03_PRED	17509	19757	16616	18629	21893	25183	32016	33423	24693	24965	24546	29312	27099	28534	25024	20496	21065	21636	26861	19040	27346
Allose_(1MEOX)_(5TMS)_BP_588062.44_PRED	473	824	989	1180	15344	1251	1674	2101	1515	755	509	1623	1245	3456	2110	3344	779	1417	763	393	1900
Allose_(1MEOX)_(5TMS)_MP_577900.56_PRED	55389	62690	26520	36046	60496	66402	79019	117651	70458	46897	52114	111413	85757	93152	60939	57395	47238	35843	64336	48800	51819
Anthranilic_acid_(2TMS)_539191.25_TRUE	5936	4782	8454	11631	3958	7488	7127	3708	8152	14973	12463	4314	5209	5610	12280	8686	10909	11429	14626	7375	10791
"Arabinonic_acid-1,4-lactone_(3TMS)_526082.88_TRUE"	567	654	610	149	106	851	1067	1121	828	100	181	693	557	1130	182	842	795	761	906	897	229
Arabitol_(5TMS)_503104.56_PRED	5262	6354	4518	5708	5712	7468	9303	8615	8037	8154	6387	8472	7583	7878	8542	6868	7744	6565	9736	5400	7245
Arginine [MP-1.1]	128785	158136	164977	204315	170873	192679	177470	179492	194304	246884	216065	211177	202613	225050	190515	144437	195168	184642	179693	147057	258005
Ascorbate (4TMS) [MP-1.1]	1338	1266	2327	1543	1398	1156	1790	3613	1249	1552	1608	1391	1300	1343	1232	576	1248	1346	998	1047	3900
"Ascorbate, 1-Dehydro- (dimer;2MEOX) [MP-1.1]"	42546	48700	41899	40642	49372	58056	76676	71295	57017	47230	53955	63386	63794	63823	57469	50406	44256	44344	56159	46202	56223
Ascorbic_acid_(4TMS)_652392.44_TRUE	18607	21072	18748	18947	20847	30315	29170	29492	26028	26847	24109	22570	22361	30088	23260	20333	22528	21364	25426	20710	31196
Asparagine (3TMS) [MP-1.1]	118938	160978	117963	103864	142897	174497	217279	207192	218193	132847	144468	251270	229223	231622	168881	188754	143237	141453	167919	124803	176281
Asparagine (4TMS) [NN-5.1]	981	1844	2055	1540	1754	1950	7423	2818	1958	1312	2062	3054	2833	2998	3623	2086	1385	1833	2249	1234	2148
Asparagine (-H2O;2TMS) [NN-3.1]	5891	8847	2782	3405	9784	8687	10641	15027	8489	4200	4680	15306	12741	16304	5648	6242	4855	3764	6250	4640	6384
Asparagine_(3TMS)_550488.31_TRUE	37053	49937	35903	32499	44559	55791	71155	66477	68482	40558	43057	79731	72989	72300	52625	57395	44534	42984	52444	40803	53151
Asparagine_(4TMS)_BP2_626664.06_TRUE	775	812	825	800	998	1167	1560	1467	1146	968	1077	1303	1173	1249	1073	914	892	900	1193	891	1154
Aspartate (3TMS) [MP-1.1]	69930	90147	65962	101318	100902	101536	117089	153369	125356	127968	117722	147433	126657	133502	132825	107889	121922	106514	162481	89458	112138
Aspartic_acid_(2TMS)_458076.97_TRUE	15851	20826	15996	23991	23768	23434	27275	35107	28510	29874	28604	33052	28314	30650	29210	25192	27756	25195	37543	20254	26556
Benzoate (1TMS) [MP-1.1]	565	598	527	814	678	865	953	1613	626	849	919	696	607	969	641	509	1030	739	807	655	802
"Benzoate, 4-Hydroxy- (2TMS) [MP-1.1]"	1643	1359	2438	3350	1183	2263	1919	1029	2312	4321	3450	1371	1445	1570	3400	2383	3254	3287	3812	1906	2935
"Benzoic_acid,_3-hydroxy-_(2TMS)_507250.44_TRUE"	1480	1657	1313	1423	1476	1915	2627	2193	2209	2079	1638	2214	1985	2127	2228	1857	2066	1818	2665	1401	2053
"Benzoic_acid,_4-amino-_(2TMS)_650574.94_TRUE"	39337	44452	34383	34733	42039	65882	64328	62176	57799	52304	46424	62191	60337	63250	58736	45766	47975	39306	52333	44664	64958
"Butane,_1,2,4-trihydroxy-_(3TMS)_345095_TRUE"	6267	5310	3037	4370	4031	5646	8745	7886	5807	7255	4357	7249	4006	6118	8671	4497	6474	4365	8975	6326	4758
"Butanoate, 4-Amino- (2TMS) [MP-2.1]"	35845	33766	6271	24446	6010	38334	68588	13483	27369	47029	24694	39765	13850	26370	67012	13676	45270	7893	73965	49535	19313
"Butanoate, 4-Amino- (3TMS) [MP-1.1]"	31370	50172	65465	61896	80893	52267	43746	128350	75584	62251	64899	68867	90150	90198	28796	82829	47040	88851	51206	33887	94044
"Butanoic_acid,_2,4-diamino-_(4TMS)_519172.62_TRUE"	530	552	158	406	140	885	1878	339	426	385	290	408	154	370	1796	160	537	120	1006	1229	294
"Butanoic_acid,_2-amino-_(2TMS)_249223.84_TRUE"	579	562	767	1075	309	723	699	284	775	NaN	870	525	608	681	778	707	910	1056	686	626	740
"Butanoic_acid,_2-oxo-_(1MEOX)_(1TMS)_MP_252911.77_PRED"	59284	91500	69888	138144	123033	113713	212038	492496	50956	230207	140337	215644	180625	248525	65085	207501	75506	99409	419521	180221	135427
"Butanoic_acid,_4-amino-3-hydroxy-_(4TMS)_531278.19_TRUE"	13479	11498	18298	22444	11330	17722	17243	7446	15605	32416	27976	13311	14126	15311	26530	19843	24041	24746	27838	16788	23611
"Butyrate, 3-Hydroxy- [MP-1.1]"	317	423	327	475	663	531	915	911	569	703	449	578	483	572	695	538	659	655	838	401	605
"Butyro-1,4-lactam,_2-amino-_(2TMS)_452058.31_PRED"	7363	11857	15823	14729	19362	12434	10063	29642	17736	14662	15651	16603	21752	21618	6695	19838	11081	21690	12050	8039	22181
