putative Compound	hum_101_3 _hea	hum_102_3 _hea	hum_103_3 _hea	hum_104_3 _hea	hum_105_3 _hea	hum_105_3 _hea	hum_106_3 _hea	hum_120_3 _hea	hum_121_3 _hea	hum_141_3 _hea	hum_153_3 _hea	hum_98_3 _hea	Wt_132_3 _hea	Wt_133_3 _hea	Wt_134_3 _hea	Wt_135_3 _hea	Wt_142_3 _hea	Wt_147_3 _hea	Wt_148_3 _hea	Wt_152_3 _hea	Wt_91_3 _hea	Wt_wt3_3 _hea
(std.i) U13C-Sorbitol	3094	3094	3094	3094	3094	3094	3094	3094	3094	3094	3094	3094	3094	3094	3094	3094	3094	3094	3094	3094	3094	3094
2-Piperidinecarboxylic_acid_(1MEOX)_(2TMS)_549118.94_TRUE	4575	4546	4051	4853	5810	180	5638	5284	7386	4965	5227	8761	7695	5863	7601	4930	2806	4496	3817	6005	8744	3893
2-Piperidinecarboxylic_acid_(2TMS)_375026.84_TRUE	4514	8888	5935	6162	13223	880	8631	11181	13458	8952	10282	11292	13440	8331	11154	10312	8685	10434	10357	11392	14092	5897
"Aconitic_acid,_trans-_(3TMS)_600462.25_PRED"	7451	7132	7459	7559	8397	3262	8337	7310	8123	6128	8538	5918	7690	5203	8931	7232	4583	7094	6955	7309	6783	6392
Adenine (2TMS) [MP-1.1]	1610	1325	1162	1316	1739	607	1964	2357	2027	1660	2651	3619	3165	1820	2382	1536	1201	1752	1366	2150	3162	1747
Adenine_(1TMS)_586048_PRED	13778	13711	14474	15095	27344	1618	16384	39344	30114	22325	18659	33718	35558	25735	28813	16813	17392	18305	16936	26647	29637	16133
Adenosine 5-P (|ADP|ATP) (5TMS) [MP-1.1]	65337	45225	47688	58982	75336	7698	78099	81362	116818	58819	78569	102202	109727	65635	179268	76727	35675	48279	94930	81511	139485	50313
"Adipic_acid,_2-amino-_(3TMS)_553368.06_TRUE"	3871	3536	3613	4136	5713	176	4660	5762	6540	5150	4393	7618	8062	5499	6614	4183	2921	4031	3542	5441	6994	3306
"Adipo-2,6-lactam_(2TMS)_492238.44_PRED"	882	881	573	894	808	8	1053	1218	1263	611	1020	357	1478	765	1584	895	354	796	851	974	241	847
Agmatine_[-NH3]_(3TMS)_578698.75_PRED	2133	2231	2093	1926	2647	467	3230	2811	3964	2009	3435	4686	3665	2219	4616	2778	1419	2712	2731	2841	5021	2136
Alanine (2TMS) [MP-1.1]	133670	92792	106282	100611	154916	16512	140512	196008	240872	151265	203663	188639	226337	190634	227271	179710	101033	139763	153380	190185	214788	191386
"Alanine, beta- (2TMS) [MP-2.1]"	2489	1813	1623	1634	3473	347	2351	3067	4301	3611	2927	3560	4337	3335	4042	2292	1822	2429	2054	2766	3400	1813
Alanine_(3TMS)_355868.03_PRED	7485	5758	4732	4588	6917	1046	9182	8071	11382	7819	4848	14142	9746	5880	10027	5471	4631	5170	5450	6149	15486	7795
Allantoate	1085	679	874	867	1145	335	1112	1136	908	828	1115	611	1240	1133	954	935	987	874	544	662	235	870
Allose_(1MEOX)_(5TMS)_BP_588062.44_PRED	34311	53116	51025	30543	39788	118208	20625	58090	49178	107317	25369	85144	63837	107558	40192	60097	127283	65852	87412	74586	78999	79299
Allose_(1MEOX)_(5TMS)_MP_577900.56_PRED	462	198	252	235	230	238	342	935	898	404	766	1325	1475	1850	658	272	1096	538	1378	1199	1003	516
Arabinonic_acid_(5TMS)_546660.38_TRUE	1381	1202	921	1064	1092	34	1487	1084	1803	1057	1209	1744	1569	1035	1925	1326	503	985	878	1279	1987	957
Arabitol_(5TMS)_503104.56_PRED	1616	2034	1387	1501	2152	97	2373	1925	3079	1782	2863	1656	2945	2136	3792	2196	1223	2113	2368	2515	2388	1938
Arginine [MP-1.1]	216997	233767	160421	218105	227853	197	287044	309459	354351	163646	279097	44019	394421	206697	399758	267905	88497	189749	224921	287657	38639	215494
Arginine_[-NH3]_(3TMS)_606298.12_TRUE	968	989	758	953	935	NaN	1398	999	992	1184	1422	824	1334	594	1502	946	699	692	NaN	1153	833	976
"Ascorbate, 1-Dehydro- (dimer;2MEOX) [MP-1.1]"	406	2665	1435	2193	2963	870	2264	3046	4745	1166	1758	280	4402	1693	4528	3062	919	1677	1829	2850	170	1892
Asparagine (3TMS) [MP-1.1]	482207	448439	456110	545718	900776	26771	603920	826031	815644	709849	523218	859089	1135578	797254	853996	510592	417479	547662	423300	714432	763273	420595
Asparagine (4TMS) [NN-5.1]	5080	4792	4161	4859	16837	147	7452	6722	4285	4329	7981	19722	5692	4392	4297	5389	2650	8678	3172	3464	13542	5480
Asparagine (-H2O;2TMS) [NN-3.1]	1985	4142	1787	4762	2244	52	NaN	3582	8267	2172	5645	8032	8624	4814	5993	NaN	891	4048	4617	NaN	8512	4485
Asparagine_(3TMS)_550488.31_TRUE	270153	257229	230377	252838	310921	8279	337509	260786	430793	257361	278624	404516	384656	285303	449257	305130	136040	230775	223206	327071	425171	215070
Aspartate (3TMS) [MP-1.1]	23300	21549	22877	22890	48241	1817	29871	72627	77734	53920	39420	41916	49558	94255	34722	54235	35122	36507	28270	42696	42586	50525
Aspartic_acid_(2TMS)_458076.97_TRUE	6837	6324	6458	5900	12114	538	8519	18813	18701	14385	10960	11027	12958	25290	9497	13815	9819	9972	7461	10532	11581	13169
Aspartic_acid_(3TMS)_458039.69_TRUE	22163	21297	22170	22796	47737	1748	29545	71570	75105	53501	38861	40577	49963	94774	34581	54692	33817	36140	26972	42146	41512	50600
Aspartic_acid_(4TMS)_550990.62_TRUE	112003	104440	100667	111780	146539	4154	141242	126399	186445	121141	120065	181209	182505	133374	192227	124294	64340	104033	96138	145314	179460	91744
Benzoate (1TMS) [MP-1.1]	733	579	654	693	1478	122	867	2123	1128	1284	569	2381	1661	1291	1365	680	626	824	809	1335	2132	645
"Benzoic_acid,_4-amino-_(2TMS)_650574.94_TRUE"	1386	1989	1374	1556	1815	251	2450	2354	3206	2205	2251	3291	2807	4665	4062	2250	2408	1616	1910	2975	2953	2290
"Butane,_1,2,4-trihydroxy-_(3TMS)_345095_TRUE"	115357	66889	87450	76887	101571	11409	126851	123292	137936	110352	115633	213774	108221	111233	127564	72699	124956	75949	109595	117220	233082	68336
"Butanoate, 4-Amino- (2TMS) [MP-2.1]"	51615	31454	39672	36890	50539	5466	60485	58060	64023	51802	54110	99034	52129	52200	59497	34370	57005	36085	49534	55890	109426	32271
"Butanoate, 4-Amino- (3TMS) [MP-1.1]"	590	601	455	534	369	130	422	795	462	442	1324	1895	1018	746	1641	299	574	549	859	1930	2877	525
"Butanoic_acid,_2-amino-_(2TMS)_249223.84_TRUE"	898	650	550	695	1268	149	1089	1371	788	779	1185	850	889	653	1212	944	700	1005	865	1022	1201	560
"Butanoic_acid,_2-oxo-_(1MEOX)_(1TMS)_MP_252911.77_PRED"	123865	70327	49820	99710	309656	14813	107834	240316	401209	319824	178292	33028	284806	215287	320373	118980	99958	128829	86158	183593	19393	90778
