putative Compound	hum_101_6 _kid	hum_102_6 _kid	hum_103_6 _kid	hum_104_6 _kid	hum_105_6 _kid	hum_106_6 _kid	hum_120_6 _kid	hum_121_6 _kid	hum_141_6 _kid	hum_153_6 _kid	hum_98_6 _kid	Wt_132_6 _kid	Wt_133_6 _kid	Wt_134_6 _kid	Wt_135_6 _kid	Wt_142_6 _kid	Wt_147_6 _kid	Wt_148_6 _kid	Wt_152_6 _kid	Wt_91_6 _kid	Wt_wt6_6 _kid
(std.i) U13C-Sorbitol	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885
1-Pyrroline-2-carboxylate	1109	408	602	364	1327	625	233	285	332	298	1700	186	246	1916	2042	74	331	214	273	1295	123
2-Piperidinecarboxylic_acid_(1MEOX)_(2TMS)_549118.94_TRUE	6292	1987	4481	3546	3750	4017	3093	4696	3894	2235	7752	4509	2908	2662	3734	1471	3952	5336	1987	3863	2172
2-Piperidinecarboxylic_acid_(2TMS)_375026.84_TRUE	677	552	512	527	952	879	263	683	678	807	1133	615	497	852	812	305	818	682	683	1152	260
4-Hydroxyphenyl-beta-glucopyranoside_(5TMS)_872154.19_TRUE	379	315	340	526	371	261	7717	235	246	807	314	211	207	344	312	776	453	512	1468	773	737
Acetylsalicylic_acid_(1TMS)_479339.56_PRED	644	538	700	518	935	911	34	957	1063	760	1469	636	686	779	742	450	753	1237	687	546	483
"Aconitic_acid,_trans-_(3TMS)_600462.25_PRED"	3718	3190	4241	2974	3534	3085	26360	3156	3643	2618	4740	3357	2974	3530	3064	2458	3110	3083	2701	2862	2302
Adenine (2TMS) [MP-1.1]	2708	1635	2382	1784	2629	3317	1258	1993	2058	1989	3640	1680	1759	2610	2053	1293	2463	2318	1880	2387	1061
Adenine_(1TMS)_586048_PRED	17944	29396	19825	13179	20993	15589	6485	20788	45372	26572	30424	19748	27474	16316	20800	8891	63730	20186	15568	55902	9450
Adenine_(2TMS)_679386.88_TRUE	47469	22062	35662	34620	27456	36466	25543	33086	59839	19145	65275	34771	28351	28943	30613	12571	24230	49291	22379	39643	17655
Adenosine 5-P (|ADP|ATP) (5TMS) [MP-1.1]	617	351	554	433	504	796	293	721	821	898	960	552	438	800	473	343	547	878	415	875	312
"Adipat, 2-Amino-"	468	424	555	440	554	817	128	715	859	691	957	545	467	733	565	332	596	733	479	471	306
"Adipic_acid,_2-amino-_(3TMS)_553368.06_TRUE"	947	770	989	NaN	1036	1275	465	NaN	1162	775	1694	920	738	1041	1058	478	1138	1307	744	1037	499
Agmatine [MP-1.2]	15970	10467	15158	11360	8522	13411	2701	11967	50312	19885	34787	16920	18500	16549	12750	6637	27916	15331	6499	57810	5320
Agmatine_[-NH3]_(3TMS)_578698.75_PRED	68553	42725	64967	37595	46321	68154	107580	53923	75350	65432	83636	49528	43566	70303	62938	32850	63477	69880	54055	62771	40075
Alanine (2TMS) [MP-1.1]	1528	1640	2732	1741	2613	3783	1223	3104	4745	2582	5196	2489	2600	4478	3102	1547	1864	2619	2247	517	1014
"Alanine, beta- (2TMS) [MP-2.1]"	2758	1918	2369	2027	2456	3895	1067	2117	3096	2382	3562	1987	1605	2682	2256	1448	2637	2731	2204	3948	1580
"Alanine,_beta-_(2TMS)_273369.53_TRUE"	3073	1826	2452	1550	2177	2386	1338	2576	6969	5265	9174	3934	3110	6506	4037	1852	2281	3434	2323	2011	1002
Alanine_(2TMS)_207563.2_TRUE	1827	226	314	3064	1318	11377	195	598	1656	374	NaN	487	2011	2203	676	910	NaN	367	NaN	767	1518
Alanine_(3TMS)_355868.03_PRED	998	547	758	460	679	728	369	796	2062	1606	2745	1235	1032	2105	1347	562	745	1021	833	562	307
Allantoate	90627	108975	107200	98491	102395	106234	NaN	99082	119677	100384	94606	106626	126412	100899	105410	127530	100156	111798	106498	107442	127753
Allantoin (5TMS)	3098	2053	2920	2200	1671	2588	529	2285	10311	3875	7124	3331	3744	3626	2426	1329	5602	2999	1403	12432	1058
Allantoin_(4TMS)_643191.62_PRED	4041	4262	3565	3484	10816	7356	1924	4013	2650	9080	4574	3429	2244	6453	4844	4665	9874	8250	5788	6987	3215
