putative Compound	hum_101_5 _liv	hum_102_5 _liv	hum_103_5 _liv	hum_104_5 _liv	hum_106_5 _liv	hum_121_5 _liv	hum_141_5 _liv	hum_153_5 _liv	hum_98_5 _liv	Wt_132_5 _liv	Wt_133_5 _liv	Wt_134_5 _liv	Wt_135_5 _liv	Wt_142_5 _liv	Wt_147_5 _liv	Wt_148_5 _liv	Wt_152_5 _liv	Wt_91_5 _liv	Wt_wt5_5 _liv
2-Piperidinecarboxylic_acid_(2TMS)_375026.84_TRUE	7875	6546	4754	4100	6359	6557	4473	2912	7181	5992	4454	5487	4779	7027	4833	5284	3713	611	4684
4-Hydroxyphenyl-beta-glucopyranoside_(5TMS)_872154.19_TRUE	40705	16203	7385	7792	12866	5429	5118	42682	10095	6636	8594	4844	23525	17448	20702	19044	47903	49652	91168
Abietic_acid_(1TMS)_882153.31_TRUE	1909	702	500	261	454	223	235	1438	585	218	298	175	951	578	701	584	1348	2423	2807
"Aconitic_acid,_cis-_(3TMS)_581908.81_TRUE"	893	1421	1081	852	851	975	663	1396	1026	910	655	847	691	1178	964	921	788	1120	672
"Aconitic_acid,_trans-_(3TMS)_600462.25_PRED"	18365	33301	26898	33210	23501	36401	37532	34613	20446	35589	38699	40019	24179	36502	36309	24453	38852	48332	33947
Adenine (2TMS) [MP-1.1]	3102	2057	2373	2219	9836	1996	2141	1642	3163	1897	1813	1420	1815	1595	1947	1812	1562	37	2280
Adenine_(1TMS)_586048_PRED	102819	115829	116565	121501	109134	123909	123982	120317	105001	124669	126514	132922	112856	123031	129354	120619	124176	125484	107619
Adenosine	51457	58133	81568	45279	47832	47756	56339	41599	106484	31146	33972	31704	40267	45206	41657	37797	30894	250	47054
Adenosine_(3TMS)_(Derivate_not_found)_910194.25_PRED	362	512	432	542	1064	575	624	302	419	432	642	1016	400	487	458	459	372	23	394
"Adipo-2,6-lactam (2TMS)"	1866	 NA	1861	 NA	1867	1576	1932	1319	2095	1753	1247	1094	1839	1437	1383	2076	1251	140	2214
"Adipo-2,6-lactam_(2TMS)_492238.44_PRED"	4880	2984	3510	5105	4334	4015	5078	2682	3875	5651	6610	4520	3254	3931	2943	2721	4050	35	4245
Agmatine [MP-1.2]	66298	198968	204553	175848	248630	212954	287536	187418	229787	238464	243784	246900	156485	255682	168521	231106	183244	53	221505
Agmatine_[-NH3]_(3TMS)_578698.75_PRED	21260	61	68	59	70	69	62	80	915	67	42	51	130	36	31	137	22	62	46
"Alanine, 3-Cyano- [MP-1.1]"	2122	 NA	564	457	445	576	761	238	1855	412	314	251	1129	395	352	372	311	 NA	525
"Alanine, 3-cyano-_(2TMS)_390334.66_PRED"	 NA	17881	19344	20596	23423	20150	17430	15276	 NA	19426	18280	19781	25877	19009	18941	19940	14906	121	20695
"Alanine,_beta-_(1TMS)_139670.61_PRED"	2122	 NA	564	457	445	576	761	238	1855	412	314	251	1129	395	352	372	311	 NA	525
"Alanine,_beta-_(2TMS)_273369.53_TRUE"	6158	2471	1182	1216	2086	1004	889	6560	1692	1043	1361	837	3699	2717	3109	3079	7296	7517	13556
"Alanine,_N-(3-indolylacetyl)-_(2TMS)_873812.38_PRED"	10785	7550	8828	8334	13620	7776	6836	6765	12816	6982	8031	8140	5496	6506	6209	7420	8090	66	7817
Alanine_(2TMS)_207563.2_TRUE	585	3625	3109	3021	2480	2616	3394	2263	2299	3884	2993	4556	3018	2798	3219	4015	2747	29	2128
Allantoate	159	1185	1062	921	940	925	971	716	654	1274	1000	1466	883	935	1047	1183	859	46	716
Allantoin (5TMS)	943348	1006066	1042292	1040836	973945	1081864	1105671	1040624	953893	1097842	1106128	1152895	976415	1092056	1130621	1032519	1109617	1084971	941438
Allantoin_(3TMS)_721904.69_PRED	6358	11927	8870	7343	6279	7383	4808	11180	7906	6536	4855	7000	5407	9822	8787	6789	6692	9396	5244
Allantoin_(4TMS)_643191.62_PRED	641	826	886	684	644	572	629	649	824	589	676	485	539	626	679	571	594	296	786
Altrose_(1MEOX)_(5TMS)_MP_590452.62_PRED	4613	4794	3322	2952	3101	2828	1750	6665	3989	2569	1788	2422	1850	3389	4750	4320	4611	9291	2878
"Androst-5-en-17-one,_3beta-hydroxy-_(1MEOX)_(1TMS)_MP_961645.19_TRUE"	1754	1775	1263	1072	1216	1082	725	2298	1429	865	758	926	762	1271	1804	1470	1737	3146	1074
Anthranilic_acid_(2TMS)_539191.25_TRUE	1241	1538	1254	2700	4666	1271	510	2235	387	1674	3774	4745	325	932	1378	2089	1587	59	1201
Apigenin_(3TMS)_1064204.12_PRED	274	581	729	619	675	657	523	573	163	475	 NA	628	524	588	600	799	587	2503	524
Arabinonic_acid_(5TMS)_546660.38_TRUE	88	363	212	579	576	1103	579	220	137	723	564	650	230	922	532	330	383	80	941
"Arabinonic_acid-1,4-lactone_(3TMS)_526082.88_TRUE"	370	10924	12269	12086	15845	12372	12568	10737	3009	13551	9962	9210	5894	13068	8144	9221	9940	1509	22910
Arabinose_(1MEOX)_(4TMS)_MP_498992.12_TRUE	70331	218810	207527	187157	166297	143208	163464	115969	202707	172392	106605	82123	120538	122738	141177	142959	131430	119	222168
Arabitol_(5TMS)_503104.56_PRED	 NA	2481	3329	2481	2750	1790	1906	4624	2238	1634	3187	1630	1949	1714	1893	1886	1210	83	2707
Ascorbate (4TMS) [MP-1.1]	21956	70294	64293	59619	51589	45275	50653	36820	62765	55096	33159	25782	38409	38063	44506	45826	42535	43	70762
Asparagine_(2TMS)_514323.59_PRED	17223	14013	11639	11823	15935	15174	15735	9411	18147	18049	16018	14811	14715	13600	9611	11285	9843	52	18778
Asparagine_(4TMS)_BP2_626664.06_TRUE	4584	3535	3304	3076	4344	3692	3913	2508	4875	4607	3951	3683	4253	3444	2598	2878	2407	145	4764
Asparagine_(4TMS)_MP_465949.62_TRUE	16146	13161	11532	11471	15945	14702	14847	9619	16393	18753	15810	14035	13874	13376	9497	11076	9561	54	18427
