putative Compound	hum_101_4 _lun	hum_102_4 _lun	hum_103_4 _lun	hum_104_4 _lun	hum_105_4 _lun	hum_106_4 _lun	hum_120_4 _lun	hum_121_4 _lun	hum_141_4 _lun	hum_153_4 _lun	hum_98_4 _lun	Wt_132_4 _lun	Wt_133_4 _lun	Wt_134_4 _lun	Wt_135_4 _lun	Wt_142_4 _lun	Wt_147_4 _lun	Wt_148_4 _lun	Wt_152_4 _lun	Wt_91_4 _lun	Wt_wt4_4 _lun
(std.i) U13C-Sorbitol	2974	2974	2974	2974	2974	2974	2974	2974	2974	2974	2974	2974	2974	2974	2974	2974	2974	2974	2974	2974	2974
2-Piperidinecarboxylic_acid_(1MEOX)_(2TMS)_549118.94_TRUE	3538	2689	1619	2845	1633	2779	2754	2490	2523	2560	2238	4419	1722	1719	662	1339	2304	2888	3006	2877	3171
2-Piperidinecarboxylic_acid_(2TMS)_375026.84_TRUE	1284	1901	1667	2228	1915	1689	1130	2163	1679	2174	NaN	1840	1008	1588	1151	NaN	1957	2803	1654	1606	1158
4-Hydroxyphenyl-beta-glucopyranoside_(5TMS)_872154.19_TRUE	640	723	425	909	407	525	565	272	452	1051	774	252	383	245	264	527	372	759	826	277	946
"Aconitic_acid,_trans-_(3TMS)_600462.25_PRED"	2273	3083	2881	3042	3146	2885	2484	2589	2846	2778	2088	2973	2737	2434	2392	2400	2769	2930	2742	2934	2897
Adenine (2TMS) [MP-1.1]	1026	938	818	1256	1027	933	688	809	977	1476	966	1130	634	674	381	702	963	957	562	1119	868
Adenine_(1TMS)_586048_PRED	12060	11254	10881	11979	11751	11735	12012	11763	11860	11240	11173	12477	10939	11062	12135	11980	11917	11710	12691	11224	12161
Adenosine 5-P (|ADP|ATP) (5TMS) [MP-1.1]	26511	13134	14827	15391	19555	17641	15136	15620	19519	28501	12766	20235	16762	10797	12061	9990	14697	18557	15349	18911	14870
Agmatine [MP-1.2]	796	580	438	457	503	905	541	652	534	NaN	701	717	547	450	225	435	485	765	501	573	660
Agmatine_[-NH3]_(3TMS)_578698.75_PRED	2595	2524	1888	2323	3167	3894	2625	1710	1969	3939	1999	2235	2941	1654	1466	2059	3262	2329	1894	2607	2583
Alanine (2TMS) [MP-1.1]	41885	38577	37177	31378	41571	47074	36096	45811	48675	72118	37005	41196	47140	33443	40318	50361	38466	62790	45448	49306	41155
"Alanine, beta- (2TMS) [MP-2.1]"	3901	6926	3387	4172	11539	4616	3203	4560	6542	5039	4195	5592	3562	2921	2225	2744	4020	4594	3272	5432	2983
"Alanine,_beta-_(2TMS)_273369.53_TRUE"	539	2299	1667	1516	4177	2783	1713	1841	2369	2898	557	2149	2934	1352	1616	1880	2245	2050	1980	2650	1428
Alanine_(2TMS)_207563.2_TRUE	41885	38577	37177	NaN	41571	47074	36096	45811	48675	72118	37005	41196	47140	33443	40318	50361	38466	NaN	45448	49306	41155
Alanine_(3TMS)_355868.03_PRED	4881	3985	3931	4014	4932	5433	3333	3569	4806	4725	4712	3618	3905	2709	2904	4236	3777	4578	3777	5022	3859
Allantoate	993	1066	1191	755	1264	1301	885	761	900	1380	668	887	1048	912	724	1340	938	1061	821	982	1028
Allose_(1MEOX)_(5TMS)_BP_588062.44_PRED	116509	109120	105120	115744	115414	111129	118065	117241	115413	103860	110262	121981	108784	111266	118905	112953	118017	115122	119631	104427	118873
Arginine [MP-1.1]	2419	5127	4808	5462	4934	4497	2915	4530	4633	9326	1383	4493	3895	2524	2640	7248	4225	18794	8279	7957	3820
"Ascorbate, 1-Dehydro- (dimer;2MEOX) [MP-1.1]"	1509	14204	5312	11500	15786	13450	13991	9772	10543	9711	8103	9292	13758	7432	3033	10622	14243	6824	6198	6526	13562
