putative Compound	hum_101_9 _mus	hum_102_9 _mus	hum_103_9 _mus	hum_104_9 _mus	hum_105_9 _mus	hum_106_9 _mus	hum_120_9 _mus	hum_120_9 _mus	hum_121_9 _mus	hum_141_9 _mus	hum_153_9 _mus	hum_98_9 _mus	Wt_132_9 _mus	Wt_133_9 _mus	Wt_134_9 _mus	Wt_135_9 _mus	Wt_142_9 _mus	Wt_147_9 _mus	Wt_148_9 _mus	Wt_152_9 _mus	Wt_91_9 _mus	Wt_wt9_9 _mus
(std.i) U13C-Sorbitol	1522	1522	1522	1522	1522	1522	1522	1522	1522	1522	1522	1522	1522	1522	1522	1522	1522	1522	1522	1522	1522	1522
1-Pyrroline-2-carboxylate	11798	11856	9604	9371	13311	14317	11604	3113	543	16220	13383	14377	7192	9735	9655	5451	10034	18833	7218	718	11292	7252
2-Piperidinecarboxylic_acid_(1MEOX)_(2TMS)_549118.94_TRUE	12429	13686	9989	10453	15238	14009	13862	4986	16488	17190	14916	16447	8106	10421	12464	5958	10685	20104	7597	22479	12667	8135
2-Piperidinecarboxylic_acid_(2TMS)_375026.84_TRUE	1912	1712	1389	1316	1706	2119	1474	4369	697	2265	1890	2293	1198	1512	1332	859	1564	2990	1049	925	1747	1139
4-Hydroxyphenyl-beta-glucopyranoside_(5TMS)_872154.19_TRUE	519	571	429	416	553	585	548	1697	255	690	1298	764	695	503	375	160	950	1143	552	603	401	359
Adenine (2TMS) [MP-1.1]	1450	1047	798	813	741	1598	951	5385	1580	1090	1160	1039	1017	974	741	630	694	1407	671	939	1004	634
Adenine_(1TMS)_586048_PRED	3781	3616	3047	2760	4120	3763	3851	21935	4337	4692	4918	4884	2311	3138	3768	1691	2919	5839	2331	5984	3872	2263
Adenosine 5-P (|ADP|ATP) (5TMS) [MP-1.1]	9480	12007	4303	7055	12306	20160	5286	180772	28397	25654	19609	21958	3182	18573	9858	2898	13822	17689	4942	33891	5526	6010
"Adipic_acid,_2-amino-_(3TMS)_553368.06_TRUE"	713	780	685	404	627	811	709	463	757	748	643	833	514	488	604	336	472	1080	420	788	696	487
"Adipo-2,6-lactam_(2TMS)_492238.44_PRED"	3153	2831	2408	1764	2095	3190	1883	13513	1351	2881	2537	2436	1672	1840	1637	1461	1888	3524	1499	1905	2687	1638
Agmatine [MP-1.2]	6852	6288	5300	4245	6063	8837	5744	8758	7434	7115	6110	6177	3545	5211	4115	3030	4135	9572	3845	5076	4741	5581
Alanine (2TMS) [MP-1.1]	196513	174166	185586	143074	175567	242827	166189	502639	179611	231539	263153	293930	158410	183117	178451	112411	173847	371554	109239	316850	208905	170056
"Alanine, beta- (2TMS) [MP-2.1]"	864	1553	1678	1286	1572	4163	1392	3233	2043	2219	1437	1728	849	765	3083	1133	1340	3176	965	2340	2523	676
"Alanine, beta- (3TMS) [MP-1.1]"	1352	1159	607	258	703	1014	722	933	802	2114	1603	1609	1070	1514	317	482	761	2040	1242	1323	994	1412
"Alanine,_beta-_(3TMS)_394745.44_TRUE"	1229	1122	667	201	536	954	707	428	774	2027	1681	1604	1016	1601	340	414	682	1815	1207	1241	935	1438
Alanine_(3TMS)_355868.03_PRED	15283	10378	10083	9693	11282	13418	9102	46695	10574	12890	6945	18674	9177	9540	10118	6384	8873	12384	7265	13049	11876	7119
Allantoate	1398	774	564	725	1115	1308	730	3247	946	889	505	1039	431	658	915	457	633	877	311	1171	784	667
Allose_(1MEOX)_(5TMS)_BP_588062.44_PRED	39282	37713	43821	43844	43466	39121	45321	6620	45216	43773	42989	40840	45547	47506	44303	53983	42200	40988	48982	41883	40568	46693
Allose_(1MEOX)_(5TMS)_MP_577900.56_PRED	287	1189	580	898	209	1419	249	1459	662	1453	698	335	275	460	415	487	412	940	444	716	1268	189
Arabinonic_acid_(5TMS)_546660.38_TRUE	1348	1068	993	781	971	1375	1040	435	1070	1271	1091	1277	840	771	1051	532	768	1838	763	1109	1060	834
"Arabinonic_acid-1,4-lactone_(3TMS)_526082.88_TRUE"	638	352	2886	445	3095	4055	425	14256	385	2411	3235	3496	1901	2097	1705	1499	1683	3853	1519	2389	3282	1998
