putative Compound	hum_101_7 _spl	hum_102_7 _spl	hum_103_7 _spl	hum_104_7 _spl	hum_105_7 _spl	hum_106_7 _spl	hum_120_7 _spl	hum_121_7 _spl	hum_141_7 _spl	hum_153_7_spl	hum_98_7 _spl	Wt_132_7 _spl	Wt_133_7 _spl	Wt_134_7 _spl	Wt_135_7 _spl	Wt_142_7 _spl	Wt_147_7 _spl	Wt_148_7 _spl	Wt_152_7 _spl	Wt_91_7 _spl	Wt_wt7_7 _spl
(std.i) U13C-Sorbitol	1552	1552	1552	1552	1552	1552	1552	1552	1552	1552	1552	1552	1552	1552	1552	1552	1552	1552	1552	1552	1552
2-Piperidinecarboxylic_acid_(1MEOX)_(2TMS)_549118.94_TRUE	727	13396	13478	14790	11550	13634	2305	13456	11057	16031	12248	14520	15269	17304	12281	10395	11927	11516	7277	10753	8895
2-Piperidinecarboxylic_acid_(2TMS)_375026.84_TRUE	3272	3078	3111	1960	4235	3728	2016	2771	3121	6755	2013	3077	4170	4549	3503	2635	4463	3496	3160	1716	3579
4-Hydroxyphenyl-beta-glucopyranoside_(5TMS)_872154.19_TRUE	28181	672	1187	1278	834	665	95	433	495	1506	851	705	1053	821	421	2284	635	668	1806	822	511
"Aconitic_acid,_cis-_(3TMS)_581908.81_TRUE"	481	20378	14890	6082	13379	6791	1254	6269	12709	20939	45953	11407	14408	25805	25966	5223	11934	16746	7146	12019	15068
Adenine (2TMS) [MP-1.1]	1358	1124	1646	1042	1731	1150	1122	774	934	2461	1571	1021	1866	1767	1304	1263	1154	925	1390	868	893
Adenine_(1TMS)_586048_PRED	2143	26527	21857	18028	22043	19597	10548	22420	21511	34796	38370	25325	28243	33139	27240	16905	23376	23109	14457	21808	19148
Adenosine 5-P (|ADP|ATP) (5TMS) [MP-1.1]	20405	27062	34475	41362	26592	42169	26032	40345	38131	15222	33281	40518	35765	42595	40397	23935	45061	33153	29819	24111	31529
"Adipat, 2-Amino-"	164	476	607	553	459	622	260	574	614	957	476	739	873	943	827	538	782	711	716	362	488
Agmatine [MP-1.2]	243	1517	1685	1320	1677	NaN	497	1344	1560	NaN	1417	2281	2488	2202	1629	1614	1579	1435	1371	964	1117
