putative Compound	hum_101_8 _tes	hum_102_8 _tes	hum_103_8 _tes	hum_104_8 _tes	hum_105_8 _tes	hum_106_8 _tes	hum_120_8 _tes	hum_121_8 _tes	hum_141_8 _tes	hum_153_8 _tes	hum_98_8 _tes	Wt_132_8 _tes	Wt_133_8 _tes	Wt_134_8 _tes	Wt_135_8 _tes	Wt_142_8 _tes	Wt_147_8 _tes	Wt_148_8 _tes	Wt_152_8 _tes	Wt_91_8 _tes	Wt_wt8_8 _tes
2-Piperidinecarboxylic_acid_(1MEOX)_(2TMS)_549118.94_TRUE	3169	828	869	900	1142	878	11513	1091	892	783	1150	686	1164	891	904	950	1206	1329	1171	1132	709
2-Piperidinecarboxylic_acid_(2TMS)_375026.84_TRUE	173	580	640	623	660	650	529	607	763	594	697	749	639	481	564	569	658	611	640	599	582
"Aconitic_acid,_trans-_(3TMS)_600462.25_PRED"	226	1597	1243	1300	846	956	1423	1348	1331	1221	1134	1238	1150	1233	1207	1427	1316	1291	1356	1345	1064
Adenine (2TMS) [MP-1.1]	1121	574	590	718	961	693	1074	596	1599	725	967	1774	700	1389	616	679	1230	1050	1101	803	1143
Adenine_(1TMS)_586048_PRED	14801	14122	15358	16186	15785	17704	17769	15923	27746	16991	16558	16566	17502	13347	15566	14849	14114	12080	21561	13810	14761
Adenosine 5-P (|ADP|ATP) (5TMS) [MP-1.1]	9367	27667	42528	37387	24941	30549	28815	44769	28993	28237	22562	51360	30296	31702	31301	28893	22008	20082	24030	23539	22190
Alanine (2TMS) [MP-1.1]	2987	79521	86506	81944	64866	86527	63393	74657	81849	95329	73249	90888	83500	81641	83916	92057	90504	84823	91272	74276	77781
"Alanine, beta- (2TMS) [MP-2.1]"	620	4883	2842	2115	2541	3261	3997	3132	4046	2862	2586	2985	2806	2701	2862	2750	2502	1933	4677	1823	4264
Alanine_(3TMS)_355868.03_PRED	4529	7625	7289	7004	6817	7967	11347	7527	7059	7515	7091	8125	7768	8420	7311	8433	8021	7442	7488	6990	7484
Allantoate	121	544	722	619	572	841	956	642	747	677	820	1544	695	653	550	759	505	465	545	436	614
Allose_(1MEOX)_(5TMS)_BP_588062.44_PRED	4469	1562	1934	3212	1248	1218	38735	1632	4535	1370	1786	1333	2530	1279	NaN	4316	2793	1167	341	1629	2971
"Arabinonic_acid-1,4-lactone_(3TMS)_526082.88_TRUE"	NaN	3324	1654	464	2165	2465	744	2679	2693	NaN	2609	2817	408	NaN	1372	2009	2210	2180	2766	2047	2538
Arabinose_(1MEOX)_(4TMS)_MP_498992.12_TRUE	11010	5309	5756	4243	5170	4449	1238	3930	3924	5586	5260	3758	4227	4527	3742	4686	5557	5055	4077	5731	3916
Arginine [MP-1.1]	32852	525809	495204	614883	693101	566154	8435	600420	546130	545868	613548	576928	629701	599469	490417	557089	581924	699859	539739	669126	643553
Ascorbate (4TMS) [MP-1.1]	1557	1783	218	679	354	506	379	695	481	308	969	341	402	265	1641	499	1433	1904	1031	356	522
"Ascorbate, 1-Dehydro- (dimer;2MEOX) [MP-1.1]"	10398	27333	28077	29969	26941	26816	39029	26311	24571	24758	23887	35176	25896	26602	24652	29988	21098	21519	26512	25446	22418
Ascorbic_acid_(4TMS)_652392.44_TRUE	17032	10874	11117	11330	10573	11845	8411	12690	11388	13275	11380	10989	12652	11895	10824	10859	12221	12893	10729	13019	11377
Asparagine (3TMS) [MP-1.1]	3901	24299	25847	28293	38486	24859	453111	38350	18494	21647	38709	21877	35534	25746	29932	27305	38988	41517	33128	32230	20028
Asparagine (-H2O;2TMS) [NN-3.1]	NaN	11884	10821	11195	10810	12054	715	11916	2924	11862	NaN	10701	12676	9805	11119	9084	9753	9608	10845	10698	11351
Asparagine_(3TMS)_550488.31_TRUE	344	7209	7815	8338	10865	7376	178725	11484	6345	6550	11154	6649	11015	7751	8974	8105	11568	12257	10020	9607	5716
Asparagine_(4TMS)_BP2_626664.06_TRUE	195	566	594	611	584	542	745	544	507	527	507	692	601	549	571	668	414	463	498	473	464
Aspartate (3TMS) [MP-1.1]	17441	24293	24778	25698	25122	24620	161477	23905	23430	23660	23886	27140	24897	42615	23462	29737	29974	23190	24172	23774	22985
Aspartic_acid_(2TMS)_458076.97_TRUE	4355	6163	5759	6003	5845	5981	38831	5761	5881	5686	6120	6395	6046	9862	5578	6772	7471	5497	5730	5848	5230
Aspartic_acid_(3TMS)_458039.69_TRUE	16941	24030	24579	24802	24205	24907	167696	23265	22517	23630	23628	26467	24485	42698	23259	29626	28905	22684	23384	23272	22060
Benzoate (1TMS) [MP-1.1]	1866	596	1025	1844	1154	775	576	661	1035	575	726	683	765	511	596	671	730	583	913	445	624
"Benzoic_acid,_(1TMS)_349981.84_PRED"	1180	385	771	1027	775	474	321	463	639	366	515	546	626	331	371	436	425	352	653	276	376
